MOVIES,YEAR,GENRE,IMDB-RATING,DURATIONS,IMAGE,SCREENSHOT,TRAILER,SYNOPSIS,720p torrent,1080p torrent
Headhunter,2009 [DANISH],Thriller,6.6,  1 hr 47 min  ,https://img.yts.mx/assets/images/movies/headhunter_2009/medium-cover.jpg,"['https://img.yts.mx/assets/images/movies/headhunter_2009/large-screenshot1.jpg', 'https://img.yts.mx/assets/images/movies/headhunter_2009/large-screenshot2.jpg', 'https://img.yts.mx/assets/images/movies/headhunter_2009/large-screenshot3.jpg']",https://www.youtube.com/embed/?rel=0&wmode=transparent&border=0&autoplay=1&iv_load_policy=3," Martin Vinge, (35), former notorious journalist, now successful headhunter with a complicated personal life, is in all confidentiality contacted by 85 year-old N.F. Sieger, S.E.O. of Denmark's largest shipping company and oil empire. Sieger hires Martin to find an alternative heir to the firm instead of his son, Daniel Sieger, who for a long time has been destined to take the company into the next era. Martin starts coming up with suitable names for the position, but discovers that he has actually been entangled in a larger impenetrable power game aimed at deciding what is really going to happen to the company; a brutal power struggle that puts an intense pressure on Martin and his private life and relationships. —Nordisk Film ",https://yts.mx/torrent/download/8445A3697A9C7B13BA36783EC3BBBEC202D30272,https://yts.mx/torrent/download/25ACB38101617C6DCF0072146D1B5E331F6A3BC9
Trouble in Paradise,1932,Comedy / Crime / Romance,8,  1 hr 22 min  ,https://img.yts.mx/assets/images/movies/trouble_in_paradise_1932/medium-cover.jpg,"['https://img.yts.mx/assets/images/movies/trouble_in_paradise_1932/large-screenshot1.jpg', 'https://img.yts.mx/assets/images/movies/trouble_in_paradise_1932/large-screenshot2.jpg', 'https://img.yts.mx/assets/images/movies/trouble_in_paradise_1932/large-screenshot3.jpg']",https://www.youtube.com/embed/?rel=0&wmode=transparent&border=0&autoplay=1&iv_load_policy=3," High class European thief Gaston Monescu meets his soul mate Lily, a pickpocket masquerading as a countess. The two join forces and come under the employ of Mme. Colet, the beautiful owner of the Colet perfume company. Gaston works as Mme. Colet's personal secretary under the alias Monsieur La Valle. Rumors start to fly as 'M. La Valle' steals Mme. Colet away from her other suitors. When the secret of his true identity catches up to him, Gaston is caught between the two beautiful women. —Gary Jackson ",https://yts.mx/torrent/download/4D6BA1FB81DB0CBD86D5F167C4ECACC65217D99F,https://yts.mx/torrent/download/19058B89EAFD24AC7F3116243D637BF37AB668F0
At the Heart of Gold: Inside the USA Gymnastics Scandal,2019,Crime / Documentary / Sport,8,  1 hr 28 min  ,https://img.yts.mx/assets/images/movies/at_the_heart_of_gold_inside_the_usa_gymnastics_scandal_2019/medium-cover.jpg,"['https://img.yts.mx/assets/images/movies/at_the_heart_of_gold_inside_the_usa_gymnastics_scandal_2019/large-screenshot1.jpg', 'https://img.yts.mx/assets/images/movies/at_the_heart_of_gold_inside_the_usa_gymnastics_scandal_2019/large-screenshot2.jpg', 'https://img.yts.mx/assets/images/movies/at_the_heart_of_gold_inside_the_usa_gymnastics_scandal_2019/large-screenshot3.jpg']",https://www.youtube.com/embed/9eaX405ph0g?rel=0&wmode=transparent&border=0&autoplay=1&iv_load_policy=3," In 2016, USA Gymnastics was rocked by the revelation that national team doctor Larry Nassar had been abusing young athletes for decades. Tribeca alum Erin Lee Carr's unflinching documentary unpacks the scandal, its cover-up, and aftermath, while giving voice to the survivors. —Tribeca Film Festival ",https://yts.mx/torrent/download/8AD8357CD5888AA35926CFEA9F4F71FD8A84271F,https://yts.mx/torrent/download/EE8C06B97080E6BFFD4110BE6F4C2B615FE0917F
After Love,2020,Drama,7.4,  1 hr 31 min  ,https://img.yts.mx/assets/images/movies/after_love_2020/medium-cover.jpg,"['https://img.yts.mx/assets/images/movies/after_love_2020/large-screenshot1.jpg', 'https://img.yts.mx/assets/images/movies/after_love_2020/large-screenshot2.jpg', 'https://img.yts.mx/assets/images/movies/after_love_2020/large-screenshot3.jpg']",https://www.youtube.com/embed/v_REAAfSDlU?rel=0&wmode=transparent&border=0&autoplay=1&iv_load_policy=3," Set in the port town of Dover in the South-East of England, Mary Hussain suddenly finds herself a widow following the unexpected death of her husband. A day after the burial, she discovers he has a secret family just twenty-one miles across the English Channel in Calais. ",https://yts.mx/torrent/download/0A0DED274DF7E599F95A873B0927456CEF406773,https://yts.mx/torrent/download/BB7B42746669C8302E566B0D59C9DDE79E91BC7E
Belichick & Saban: The Art of Coaching,2019,Documentary / Sport,7.7,  1 hr 13 min  ,https://img.yts.mx/assets/images/movies/belichick_saban_the_art_of_coaching_2019/medium-cover.jpg,"['https://img.yts.mx/assets/images/movies/belichick_saban_the_art_of_coaching_2019/large-screenshot1.jpg', 'https://img.yts.mx/assets/images/movies/belichick_saban_the_art_of_coaching_2019/large-screenshot2.jpg', 'https://img.yts.mx/assets/images/movies/belichick_saban_the_art_of_coaching_2019/large-screenshot3.jpg']",https://www.youtube.com/embed/t-Y3s6jUNGM?rel=0&wmode=transparent&border=0&autoplay=1&iv_load_policy=3, HD. A quick look at the HBO Sports Special 'Belichick & Saban: The Art of Coaching.' ,https://yts.mx/torrent/download/DB392C6C1810210C2975657D2A758959CDC6087F,https://yts.mx/torrent/download/815EA0E330F582DE7F5BDFE66C402D01C09C3EBD
Alice,2019 [FRENCH],Comedy / Drama / Romance,6.5,  1 hr 45 min  ,https://img.yts.mx/assets/images/movies/alice_2019/medium-cover.jpg,"['https://img.yts.mx/assets/images/movies/alice_2019/large-screenshot1.jpg', 'https://img.yts.mx/assets/images/movies/alice_2019/large-screenshot2.jpg', 'https://img.yts.mx/assets/images/movies/alice_2019/large-screenshot3.jpg']",https://www.youtube.com/embed/?rel=0&wmode=transparent&border=0&autoplay=1&iv_load_policy=3," When her husband steals her money and abandons her and her son, Alice finds herself broke, desperate, and on the verge of losing her house. With time running out, she realizes that the only way to make good money fast is to become a prostitute. —eyesmalloy ",https://yts.mx/torrent/download/A4A2B15A9B59A422144FB7C868F1CAF56160B4E9,https://yts.mx/torrent/download/9F3DC906DEAC0A7667802E2AD802C04846EC6BBA
Running with Beto,2019,Documentary,5.7,  1 hr 31 min  ,https://img.yts.mx/assets/images/movies/running_with_beto_2019/medium-cover.jpg,"['https://img.yts.mx/assets/images/movies/running_with_beto_2019/large-screenshot1.jpg', 'https://img.yts.mx/assets/images/movies/running_with_beto_2019/large-screenshot2.jpg', 'https://img.yts.mx/assets/images/movies/running_with_beto_2019/large-screenshot3.jpg']",https://www.youtube.com/embed/PoTJul0zdfs?rel=0&wmode=transparent&border=0&autoplay=1&iv_load_policy=3," The year-long campaign of Democratic Congressman Beto O'Rourke for the 2018 Texas senate seat is presented. He almost achieved what was arguably seen as the improbable to impossible by coming close to upsetting the incumbent, Republican Senator Ted Cruz, in what is one of the bluest states state-wide in the nation. That uphill climb included being little known at the beginning of the campaign outside his El Paso district - he planning on visiting all two hundred fifty-four counties in the state in making himself better known - and not accepting any political action committee (PAC) moneys, which most politicians do, in funding his campaign. Specific issues are highlighted as they become more integral in the minds of the public and thus politicians, including President Donald Trump's push to build a border wall and his associated classification that all illegal Mexican immigrants are criminals, and the number of mass shootings in the country - especially the one at Santa Fe High School in Santa Fe, Texas - bringing up the ever divisive issue of gun control. The effect of the decision to run on O'Rourke's immediate family is also shown, they who describe the commitment being exponentially greater than it was in the Congress campaign. The possible effects of the election result on the 2020 elections is also discussed. —Huggo ",https://yts.mx/torrent/download/9029A4B723413D1F80E93F70DF0C2E13F88FBE7A,https://yts.mx/torrent/download/2709E01430854597A6EDB7AFC5D31F788872000F
How Jack Became Black,2018,Documentary,7.5,  1 hr 24 min  ,https://img.yts.mx/assets/images/movies/how_jack_became_black_2018/medium-cover.jpg,"['https://img.yts.mx/assets/images/movies/how_jack_became_black_2018/large-screenshot1.jpg', 'https://img.yts.mx/assets/images/movies/how_jack_became_black_2018/large-screenshot2.jpg', 'https://img.yts.mx/assets/images/movies/how_jack_became_black_2018/large-screenshot3.jpg']",https://www.youtube.com/embed/oxUi-fEUPsg?rel=0&wmode=transparent&border=0&autoplay=1&iv_load_policy=3," The births of Jack and June, the third multiracial generation in filmmaker Eli Steele's family, coincided with a startling projection: by 2050, at least 20% of all Americans will self-identify as two or more races. What will this mean in a nation tormented by race? Born black, Jewish and deaf, Steele battled childhood bullying. Then, as an adult, he battled identity politics in both education and employment. He believed that holding onto his individuality, rather than his skin color, was part of America's promise to him. However, Steele's belief in this promise was shaken when his son was denied entrance to a public school for refusing to name his ""primary race."" Why does race still matter so much? To find out, Steele journeys into uncharted territory where he takes on identity politics through interviews with multiracial individuals and through thoughtful re-examinations of headline controversies -- the George Zimmerman trial, a conference on white privilege, and the DeBlasio campaign. The result is an emotional, yet unbiased look at race that Adam Carolla called ""eye-opening,"" that National Review declared ""fascinating,"" and that Hollywood In Toto said ""demolished Identity Politics."" ",https://yts.mx/torrent/download/1F8DCF3CECD80791AD7DA5E91C5880641410B91B,https://yts.mx/torrent/download/746EADBAF30E9198127559C3B71694C572DE8961
Hold-Up,1985 [FRENCH],Comedy / Crime,6.6,  1 hr 53 min  ,https://img.yts.mx/assets/images/movies/hold_up_1985/medium-cover.jpg,"['https://img.yts.mx/assets/images/movies/hold_up_1985/large-screenshot1.jpg', 'https://img.yts.mx/assets/images/movies/hold_up_1985/large-screenshot2.jpg', 'https://img.yts.mx/assets/images/movies/hold_up_1985/large-screenshot3.jpg']",https://www.youtube.com/embed/?rel=0&wmode=transparent&border=0&autoplay=1&iv_load_policy=3," Dressed as a clown, the clever rascal Grimm holds up the most secure bank of Montreal and takes 30 hostages. While confusing and ridiculing the police with his strange behavior, he calmly manages to rid the bank of a fortune. But then an unsatisfied companion arouses trouble... —Tom Zoerner ",https://yts.mx/torrent/download/852E4B39ECC47E9F4FBC8FB684C23F818C468818,https://yts.mx/torrent/download/B942B42C5573BC931D2FCA00D208E1A8BB49E97D
Destination: Infestation,2007,Action / Adventure / Drama,2.9,  1 hr 26 min  ,https://img.yts.mx/assets/images/movies/destination_infestation_2007/medium-cover.jpg,"['https://img.yts.mx/assets/images/movies/destination_infestation_2007/large-screenshot1.jpg', 'https://img.yts.mx/assets/images/movies/destination_infestation_2007/large-screenshot2.jpg', 'https://img.yts.mx/assets/images/movies/destination_infestation_2007/large-screenshot3.jpg']",https://www.youtube.com/embed/nIzUouh_1Yk?rel=0&wmode=transparent&border=0&autoplay=1&iv_load_policy=3," While on a flight home from Colombia, the plane that Dr. Carrie Ross and her daughter are on is attacked by bullet ants whose sting is the most painful and deadliest on the planet. Joining forces with air marshal Ethan Hart, Dr. Ross, an entomologist, tries desperately to save the flight from disaster. In the end, their struggle brings them closer together and offers the couple hope for the future. —George Mendeluk ",https://yts.mx/torrent/download/C2FB9B6953885416B63D5022F4389032D39460D2,https://yts.mx/torrent/download/49BAEAD2F6BFCD141F470EB1940DD055EE4E5E40
How It Ends,2021,Comedy,5.1,  1 hr 23 min  ,https://img.yts.mx/assets/images/movies/how_it_ends_2021/medium-cover.jpg,"['https://img.yts.mx/assets/images/movies/how_it_ends_2021/large-screenshot1.jpg', 'https://img.yts.mx/assets/images/movies/how_it_ends_2021/large-screenshot2.jpg', 'https://img.yts.mx/assets/images/movies/how_it_ends_2021/large-screenshot3.jpg']",https://www.youtube.com/embed/t84FHuWMs2I?rel=0&wmode=transparent&border=0&autoplay=1&iv_load_policy=3," In this feel-good apocalyptic comedy, Liza (Zoe Lister-Jones) embarks on a hilarious journey through LA in hopes of making it to her last party before it all ends, running into an eclectic cast of characters along the way. ",https://yts.mx/torrent/download/F7D958DA1450BC62E3262428D32C98E7BB3B9FEE,https://yts.mx/torrent/download/9A8B714FBBAA268CBA49312837D3CA590B6511C9
Complicit,2013,Drama,6.3,  1 hr 39 min  ,https://img.yts.mx/assets/images/movies/complicit_2013/medium-cover.jpg,"['https://img.yts.mx/assets/images/movies/complicit_2013/large-screenshot1.jpg', 'https://img.yts.mx/assets/images/movies/complicit_2013/large-screenshot2.jpg', 'https://img.yts.mx/assets/images/movies/complicit_2013/large-screenshot3.jpg']",https://www.youtube.com/embed/BuWF-m5RTXM?rel=0&wmode=transparent&border=0&autoplay=1&iv_load_policy=3," Complicit follows the trail of Edward(David Oyelowo) an MI5 officer desperate to foil what he believes is another 7/7 style atrocity planned by British terror suspect Waleed (Arsher Ali) despite the lack of any conclusive evidence. Edward, confronted by the key moral dilemma of our time, is forced into choosing between two morally devastating outcomes. —MRF Ltd ",https://yts.mx/torrent/download/4532D3DDE994CDFBFE06103DAF452F084B74DF17,https://yts.mx/torrent/download/A76CF27C549A5F24C8CA811735974FFE6D7AE0CC
Gary Gulman: The Great Depresh,2019,Comedy,7.7,  1 hr 14 min  ,https://img.yts.mx/assets/images/movies/gary_gulman_the_great_depresh_2019/medium-cover.jpg,"['https://img.yts.mx/assets/images/movies/gary_gulman_the_great_depresh_2019/large-screenshot1.jpg', 'https://img.yts.mx/assets/images/movies/gary_gulman_the_great_depresh_2019/large-screenshot2.jpg', 'https://img.yts.mx/assets/images/movies/gary_gulman_the_great_depresh_2019/large-screenshot3.jpg']",https://www.youtube.com/embed/epF-2yKaAYg?rel=0&wmode=transparent&border=0&autoplay=1&iv_load_policy=3, Gary Gulman offers candid reflections on his struggles with depression through stand-up and short documentary interludes that provide insight into his mental health journey. ,https://yts.mx/torrent/download/F0848DF5888DDC307422F46B13663D37904B8F40,https://yts.mx/torrent/download/308311797A4362F25D48E589959367E4CE90CDA1
Lil Rel Howery: Live in Crenshaw,2019,Comedy,5.9,  1 hr 4 min  ,https://img.yts.mx/assets/images/movies/lil_rel_howery_live_in_crenshaw_2019/medium-cover.jpg,"['https://img.yts.mx/assets/images/movies/lil_rel_howery_live_in_crenshaw_2019/large-screenshot1.jpg', 'https://img.yts.mx/assets/images/movies/lil_rel_howery_live_in_crenshaw_2019/large-screenshot2.jpg', 'https://img.yts.mx/assets/images/movies/lil_rel_howery_live_in_crenshaw_2019/large-screenshot3.jpg']",https://www.youtube.com/embed/rtxTgzK6eI4?rel=0&wmode=transparent&border=0&autoplay=1&iv_load_policy=3," Lil Rel Howery draws on his personal experiences in his relatable, uproarious stand-up. ",https://yts.mx/torrent/download/C5BA2F63A092F835572BB84CBD82F3C97FD64837,https://yts.mx/torrent/download/B3CEE069DAD2C368EDC4C393AEC29B06CA277753
Escape Room: Tournament of Champions,2021,Action / Adventure / Horror,5.9,  1 hr 35 min  ,https://img.yts.mx/assets/images/movies/escape_room_tournament_of_champions_2021/medium-cover.jpg,"['https://img.yts.mx/assets/images/movies/escape_room_tournament_of_champions_2021/large-screenshot1.jpg', 'https://img.yts.mx/assets/images/movies/escape_room_tournament_of_champions_2021/large-screenshot2.jpg', 'https://img.yts.mx/assets/images/movies/escape_room_tournament_of_champions_2021/large-screenshot3.jpg']",https://www.youtube.com/embed/kVv66WaHrpk?rel=0&wmode=transparent&border=0&autoplay=1&iv_load_policy=3," Six people unwittingly find themselves locked in another series of escape rooms, slowly uncovering what they have in common to survive. Joining forces with two of the original survivors, they soon discover they've all played the game before. ",https://yts.mx/torrent/download/BC0D47A3E039E6211950FCBDD04B08A28344B5B6,https://yts.mx/torrent/download/11E6E754B6C87666D72DF280C5C056B1882C55CB
Dan Soder: Son of a Gary,2019,Comedy,7.5,  1 hr 2 min  ,https://img.yts.mx/assets/images/movies/dan_soder_son_of_a_gary_2019/medium-cover.jpg,"['https://img.yts.mx/assets/images/movies/dan_soder_son_of_a_gary_2019/large-screenshot1.jpg', 'https://img.yts.mx/assets/images/movies/dan_soder_son_of_a_gary_2019/large-screenshot2.jpg', 'https://img.yts.mx/assets/images/movies/dan_soder_son_of_a_gary_2019/large-screenshot3.jpg']",https://www.youtube.com/embed/f6RO4Gq8e1w?rel=0&wmode=transparent&border=0&autoplay=1&iv_load_policy=3," The comic discusses drug dogs at the airport, the customer service generation and other topics. ",https://yts.mx/torrent/download/608DE0205E6E87DEDE52A83E1F70F86DCA8A8F23,https://yts.mx/torrent/download/1BB94650FD58E33EF6935FF0F7368DBA88A1BA6E
Georgia,1995,Drama / Music,6.6,  1 hr 57 min  ,https://img.yts.mx/assets/images/movies/georgia_1995/medium-cover.jpg,"['https://img.yts.mx/assets/images/movies/georgia_1995/large-screenshot1.jpg', 'https://img.yts.mx/assets/images/movies/georgia_1995/large-screenshot2.jpg', 'https://img.yts.mx/assets/images/movies/georgia_1995/large-screenshot3.jpg']",https://www.youtube.com/embed/jG9pUsmjAO8?rel=0&wmode=transparent&border=0&autoplay=1&iv_load_policy=3," Sadie is desperately looking up to her older sister Georgia who is a famous C&W artist. Sadie wants to be a famous artist like her sister, but is always doing everything wrong. Her desperate need to be accepted by her sister is constantly complicated by her drug and alcohol problems. Georgia lives a very ordered life with husband, house and children, and Sadie does everything to get her attention. — ",https://yts.mx/torrent/download/BD2830EB8E04AF2BFDA592D356B50387453A0BC6,https://yts.mx/torrent/download/41B3F5939A00911637A9A37FF366882F5E58A845
Mystery 101 Deadly History,2021,Crime / Drama / Mystery,7.6,  1 hr 23 min  ,https://img.yts.mx/assets/images/movies/mystery_101_deadly_history_2021/medium-cover.jpg,"['https://img.yts.mx/assets/images/movies/mystery_101_deadly_history_2021/large-screenshot1.jpg', 'https://img.yts.mx/assets/images/movies/mystery_101_deadly_history_2021/large-screenshot2.jpg', 'https://img.yts.mx/assets/images/movies/mystery_101_deadly_history_2021/large-screenshot3.jpg']",https://www.youtube.com/embed/JVw6yCEWvEo?rel=0&wmode=transparent&border=0&autoplay=1&iv_load_policy=3," Amy and Travis accompany Graham to Ithaca, New York upon the discovery that Graham's much younger brother, Alastair Winslow, a Rockwell College History professor with who Graham admits he was not as close as he would now want, has gone missing, a bullet casing and what was determined to be Al's blood evident in Al's house. They will eventually learn that Al had been left a threatening note of an unknown nature posted on his office door which probably is related to his disappearance. Sheriff Harry Ridgeway, the lead police investigator, welcomes both the Winslows and Travis' assistance in the investigation. Much like this case being a Winslow family endeavor, that family which Graham and Amy do include Travis, they will all learn beyond evidence that Al is still alive, that he had his hands in many different family situations. There is his work family which includes ex-wife Professor Carmela Rhee, protégé Professor Mark Lyons, and TA Lucy Harding, which beyond the divorce has the issue of what seems to be a pending charge to college's ethics board filed by Carmela against Al, and Al's late payment of the sizable divorce settlement to Carmela, money which Al apparently did not have. There is the pro bono tutoring Al was doing for student Janey Sullivan organized by her father, Frank Sullivan, a ""businessman"" who is suspected to be a violent and controlling mob boss, although Janey's mother, Sinead Sullivan, seemed more interested in what happened with Janey than Frank. And Al was apparently doing some consulting work for the Kent family on the history of Kent Lake Lodge, the resort where Amy, Travis and Graham are staying, that work which only a handful of people knew about. —Huggo ",https://yts.mx/torrent/download/1D28802EC73D7124FF65D6492307B87BC4E6E01E,https://yts.mx/torrent/download/E1D540717CB3D0AC07D35D1F1603A4589CDE535C
Love in Translation,2021,Comedy / Family / Romance,6.1,  1 hr 28 min  ,https://img.yts.mx/assets/images/movies/love_in_translation_2021/medium-cover.jpg,"['https://img.yts.mx/assets/images/movies/love_in_translation_2021/large-screenshot1.jpg', 'https://img.yts.mx/assets/images/movies/love_in_translation_2021/large-screenshot2.jpg', 'https://img.yts.mx/assets/images/movies/love_in_translation_2021/large-screenshot3.jpg']",https://www.youtube.com/embed/?rel=0&wmode=transparent&border=0&autoplay=1&iv_load_policy=3," Fluent in ten languages including two dead ones, Julie Walters, considered the brightest mind in the Department, is just months away from obtaining a Ph.D. in Ancient Languages, after which she hopes to get a job at the Museum of Natural History, where she's wanted to work since she was a child. Her path hits a roadblock when she is informed that all funding has been pulled from the Department for student services, including employment and financing, her sole sources of education funding. With no museum jobs to be had which would be her first choice as a replacement, Julie decides to offer private language lessons instead. Her first students, seniors couple Rose and Earl Williams, decide to buy French lessons for their son Dan, who is in a long distance relationship with a Parisienne, Cosette, they solely communicating in their common language of English. Upon first sight, Julie discovers her new student is one of the assistant curators at the museum with who she had earlier had a somewhat awkward discussion regarding she potentially working there. Busy Dan, reluctant to enter into the lessons, is more practical than romantic in his relationships, he dealing with Cosette solely in those areas common to the two of them, namely in English and around museums, she who works at one in Paris, which is how they originally met. In believing one learns better if it applies to them, Julie ends up also coaching Dan in how to be more romantic in how it would apply to Cosette, he eventually discovering that she would like him to exhibit that side of himself to her. As Julie starts to fall for Dan, and it seems he for her, their path forward may hit the further roadblocks of Cosette, and of her goal of working at the museum. —Huggo ",https://yts.mx/torrent/download/9D5400381587B5F7C6E8D8471A3BDEE2A9A156F6,https://yts.mx/torrent/download/C3ABDA6D8FF7B88C111822A8E528BC2B13C4F334
Blind Revenge,2009,Thriller,5.3,  1 hr 28 min  ,https://img.yts.mx/assets/images/movies/blind_revenge_2009/medium-cover.jpg,"['https://img.yts.mx/assets/images/movies/blind_revenge_2009/large-screenshot1.jpg', 'https://img.yts.mx/assets/images/movies/blind_revenge_2009/large-screenshot2.jpg', 'https://img.yts.mx/assets/images/movies/blind_revenge_2009/large-screenshot3.jpg']",https://www.youtube.com/embed/3LwThz73rxc?rel=0&wmode=transparent&border=0&autoplay=1&iv_load_policy=3," Sir Paul, a distinguished author, blinded in a horrific accident, advertises for an amanuensis, an assistant to help him with his writing. He employs the amiable Jane Ryder to be his eyes as he revisits scenes from his past and works on what he intends to be his final opus. Jane appears to be ideal: attractive, intelligent, unruffled by her employer's abrupt eccentricities. But, gradually, we come aware that Jane has another agenda. Incrementally, Sir Paul's familiar surroundings are altered. Strange things happen around the house and he becomes increasingly dependent on his new assistant. Jane plays increasingly sadistic games until their relationship breaks down... —Anonymous ",https://yts.mx/torrent/download/7445107A156DF27DBE3F9DBBA06D9F5E44CC3693,https://yts.mx/torrent/download/E6888FD468572B50F33F167C438079807EA4DFD9
Howard Original,2020,Comedy / Drama,5.2,  1 hr 34 min  ,https://img.yts.mx/assets/images/movies/howard_original_2020/medium-cover.jpg,"['https://img.yts.mx/assets/images/movies/howard_original_2020/large-screenshot1.jpg', 'https://img.yts.mx/assets/images/movies/howard_original_2020/large-screenshot2.jpg', 'https://img.yts.mx/assets/images/movies/howard_original_2020/large-screenshot3.jpg']",https://www.youtube.com/embed/?rel=0&wmode=transparent&border=0&autoplay=1&iv_load_policy=3," After MULTIPLE failed relationships, a screenwriter named HOWARD begins to question his life and the meaning of it. He escapes to a cabin, in hopes to find closure from both his writer's block and hysterical, yet painful past. Only, HOWARD finds himself in a state of reality and an altered universe when he finds an abandoned cat named BLUE while reflecting on his personal and work relationships. —Anonymous ",https://yts.mx/torrent/download/2BF3D8E7B7C29993687A1B4C042E6E8E2ABF2028,https://yts.mx/torrent/download/3631085CD8FC858BBF77109ADA65576A9BA0E446
Strange Friends,2021,Mystery,3.7,  1 hr 37 min  ,https://img.yts.mx/assets/images/movies/strange_friends_2021/medium-cover.jpg,"['https://img.yts.mx/assets/images/movies/strange_friends_2021/large-screenshot1.jpg', 'https://img.yts.mx/assets/images/movies/strange_friends_2021/large-screenshot2.jpg', 'https://img.yts.mx/assets/images/movies/strange_friends_2021/large-screenshot3.jpg']",https://www.youtube.com/embed/?rel=0&wmode=transparent&border=0&autoplay=1&iv_load_policy=3, ,https://yts.mx/torrent/download/73AC20777D17426045B9BE5C23025469D99D8EB3,https://yts.mx/torrent/download/BC8228C3496B4563792117BA694DEA8CD85DF135
Amateurs,2020 [POLISH],Comedy / Drama,6.6,  1 hr 35 min  ,https://img.yts.mx/assets/images/movies/amateurs_2020/medium-cover.jpg,"['https://img.yts.mx/assets/images/movies/amateurs_2020/large-screenshot1.jpg', 'https://img.yts.mx/assets/images/movies/amateurs_2020/large-screenshot2.jpg', 'https://img.yts.mx/assets/images/movies/amateurs_2020/large-screenshot3.jpg']",https://www.youtube.com/embed/?rel=0&wmode=transparent&border=0&autoplay=1&iv_load_policy=3, ,https://yts.mx/torrent/download/D3E8D88BDED24EF6824C5FAED3C4143A1928E599,https://yts.mx/torrent/download/805682644DE9683C833C18A478A0DC5AEE54E6C2
Herbie Hancock: Possibilities,2006,Documentary / Music,7,  1 hr 30 min  ,https://img.yts.mx/assets/images/movies/herbie_hancock_possibilities_2006/medium-cover.jpg,"['https://img.yts.mx/assets/images/movies/herbie_hancock_possibilities_2006/large-screenshot1.jpg', 'https://img.yts.mx/assets/images/movies/herbie_hancock_possibilities_2006/large-screenshot2.jpg', 'https://img.yts.mx/assets/images/movies/herbie_hancock_possibilities_2006/large-screenshot3.jpg']",https://www.youtube.com/embed/?rel=0&wmode=transparent&border=0&autoplay=1&iv_load_policy=3," ""Possibilities"" is an intimate documentary about Herbie Hancock and his in-studio collaborations with a dozen formidable pop recording artists, collaborations that explore the unexpected, like jazz improvisations. The film is also about how Herbie's unique world view shapes a creative environment that encourages artists to step outside the velvet prison of easy expectations. ""The hip stuff,"" Herbie tells Trey Anastasio, in a scene from the film, ""is outside the comfort zone."" ""Possibilities"" follows Herbie over a year and a half collaborating with musical icons Carlos Santana, Sting, Angelique Kidjo, Annie Lennox and Paul Simon, young superstars Christina Aguilera, John Mayer, Trey Anastasio and Jonny Lang and newcomers Joss Stone, Raul Midon, Damien Rice and Lisa Hannigan. The film also puts Herbie's latest work in the context of his extraordinary musical career, and includes rarely seen archival footage of Herbie with the Miles Davis Quintet in 1962; Herbie leading his Headhunters with their hit tune, ""Chameleon""; Herbie's classic video for ""Rockit""; and never-before-seen duets of Herbie and Wayne Shorter playing for peace in Hiroshima and Nagasaki in 2005 on the 60th anniversary of the atomic explosions. —Max Whiteside ",https://yts.mx/torrent/download/C75BA489D4FE8E99CF2DD73A343DC9F521A7EC88,https://yts.mx/torrent/download/CA7064EA66130E048286B259AF1CBF694AD26F7F
Race Against Time: The CIA and 9/11,2021,Documentary,4.1,  1 hr 28 min  ,https://img.yts.mx/assets/images/movies/race_against_time_the_cia_and_911_2021/medium-cover.jpg,"['https://img.yts.mx/assets/images/movies/race_against_time_the_cia_and_911_2021/large-screenshot1.jpg', 'https://img.yts.mx/assets/images/movies/race_against_time_the_cia_and_911_2021/large-screenshot2.jpg', 'https://img.yts.mx/assets/images/movies/race_against_time_the_cia_and_911_2021/large-screenshot3.jpg']",https://www.youtube.com/embed/?rel=0&wmode=transparent&border=0&autoplay=1&iv_load_policy=3, Follows former top officials and elite operatives inside the CIA as they share accounts of their efforts to stop Osama bin Laden and the catastrophic attack they knew was coming. ,https://yts.mx/torrent/download/8A8BEF6595A2478F41A82BF1671E398C6E44350F,https://yts.mx/torrent/download/47E064A9111C786F2DD80D6E7BEAFD10032E5A19
Terminal Island,1973,Action / Drama / Thriller,5.2,  1 hr 28 min  ,https://img.yts.mx/assets/images/movies/terminal_island_1973/medium-cover.jpg,"['https://img.yts.mx/assets/images/movies/terminal_island_1973/large-screenshot1.jpg', 'https://img.yts.mx/assets/images/movies/terminal_island_1973/large-screenshot2.jpg', 'https://img.yts.mx/assets/images/movies/terminal_island_1973/large-screenshot3.jpg']",https://www.youtube.com/embed/Qv1EB1R3olI?rel=0&wmode=transparent&border=0&autoplay=1&iv_load_policy=3," In the wake of a Supreme Court decision to outlaw the death penalty, California passes an initiative that designates San Bruno island as a dumping spot for first-degree murder convicts, free to do what they like except leave. The main camp of convicts is controlled by the tyrannical Bobby, who rules with an iron hand, and the women are used as sex slaves. A.J. and a group of more free-minded murderers have escaped and gone into hiding. When A.J. and his men liberate the women from Bobby's custody, tensions mount to an all-out confrontation for control of the island. —Ed Sutton ",https://yts.mx/torrent/download/07C3C9FF7B1BF82F8D0EA18000EB5C6F917A744F,https://yts.mx/torrent/download/F0466DDA042D791DBD568CD2F856E58507C3FDB6
